#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),Genre
464,Stars Simulation,"Sep 8, 2016",$0.99,N/A (N/A),"44,391 ±6,844",04:08 (04:18),Just Amusing Myself Studios,Just Amusing Myself Studios,Simulation
1910,Surfasaurus,15/03/17,$0.99,N/A (N/A),"44,391 ±6,844",04:45 (04:31),Red Triangle Games,Red Triangle Games,Simulation
213,Pandora: First Contact,"May 30, 2014",$29.99,21% (64%/68%),"44,115 ±6,822",14:58 (05:33),Proxy Studios,Slitherine Ltd.,Simulation
564,Save Home,"Sep 30, 2016",$0.99,N/A (N/A),"44,115 ±6,822",05:12 (05:23),BadWolf Games,BadWolf Games,Simulation
879,Microtransaction Simulator,"Sep 14, 2017",Free,74% (90%),"43,839 ±6,801",00:54 (00:16),chlsea,chlsea,Simulation
1383,Wildlife Park 2 - Fantasy,17/07/14,$0.99,7% (46%),"43,839 ±6,801",03:07 (00:19),b-alive gmbh,b-alive gmbh,Simulation
2238,Bridge It +,18/11/13,$6.99,N/A (N/A),"43,839 ±6,801",02:00 (00:39),Chronic Logic,Libredia,Simulation
112,House of the Dying Sun,01/11/16,$19.99,70% (89%/76%),"43,563 ±6,780",02:44 (01:11),"Marauder Interactive, LLC","Marauder Interactive, LLC",Simulation
144,Oriental Empires,"Sep 14, 2017",$29.99,46% (80%/73%),"43,563 ±6,780",14:56 (04:38),Shining Pixel Studios,Iceberg Interactive,Simulation
1029,Construction Machines 2014,28/03/14,$6.99,0% (9%),"43,563 ±6,780",00:22 (00:08),GameCask,GameCask,Simulation
1596,Eleven: Table Tennis VR,"Sep 22, 2016",$19.99,92% (95%),"43,563 ±6,780",02:40 (00:50),For Fun Labs,For Fun Labs,Simulation
114,GoD Factory: Wingmen,"Aug 29, 2014",$19.99,22% (65%/76%),"43,288 ±6,758",06:07 (01:23),Nine Dots Studio,Nine Dots Studio,Simulation
2452,Beyond Space Remastered Edition,18/06/14,$4.99,4% (40%),"43,288 ±6,758",02:08 (01:25),Silesia Games Sp. z o.o.,Plug In Digital,Simulation
2624,Lightblade VR,"May 31, 2016",$3.99,58% (85%),"43,288 ±6,758",01:33 (00:37),Andreas Hager Gaming,Andreas Hager Gaming,Simulation
2880,MXGP - The Official Motocross Videogame,28/03/14,$19.99,42% (78%),"43,288 ±6,758",22:05 (06:22),Milestone S.r.l.,"Plug In Digital, Milestone S.r.l.",Simulation
1480,Roommates,"Oct 15, 2014",$24.99,N/A (N/A),"43,012 ±6,737",03:59 (01:57),Winter Wolves,Winter Wolves,Simulation
2376,World Ship Simulator,04/11/16,$19.99,0% (19%),"42,736 ±6,715",01:04 (00:29),Odin Game Studio,Excalibur Games,Simulation
2606,Pixel Privateers,"Feb 21, 2017",$14.99,38% (76%),"42,736 ±6,715",08:05 (05:35),Quadro Delta,Re-Logic,Simulation
1954,Office Space: Idle Profits,"Oct 18, 2017",Free,38% (76%),"42,461 ±6,693",08:15 (00:31),Ultrabit,Kongregate,Simulation
3056,Train Sim World: CSX Heavy Haul,16/03/17,$39.99,21% (64%),"42,461 ±6,693",12:47 (06:20),Dovetail Games,Dovetail Games - Trains,Simulation
643,Madness Cubed,"May 12, 2016",$2.99,23% (66%),"42,185 ±6,672",05:01 (03:31),nobodyshot,nobodyshot,Simulation
2012,Democracy 3 Africa,"Apr 12, 2016",$14.99,31% (72%),"42,185 ±6,672",06:46 (03:03),Positech Games,Positech Games,Simulation
953,Angels Fall First,"Oct 1, 2015",$17.99,51% (82%),"41,909 ±6,650",05:08 (01:46),Strangely Interactive Ltd,Strangely Interactive Ltd,Simulation
1598,Fortune's Tavern - The Fantasy Tavern Simulator!,05/03/15,$4.99,N/A (N/A),"41,909 ±6,650",01:02 (00:30),"Michael Flynn, Elizabeth Flynn",FlynnFour Games,Simulation
2004,VR Regatta - The Sailing Game,"May 31, 2016",$14.99,N/A (N/A),"41,633 ±6,628",00:19 (00:07),MarineVerse,MarineVerse,Simulation
2891,Novus Inceptio,"Oct 5, 2015",$19.99,31% (72%),"41,358 ±6,606",04:34 (01:49),McMagic Productions,McMagic Productions,Simulation
1084,Last Days of Spring Visual Novel,"Oct 7, 2015",$2.99,N/A (N/A),"41,082 ±6,584",03:50 (03:33),Sapphire Dragon Productions,Sapphire Dragon Productions,Simulation
2622,Envoy 2,16/06/16,$0.99,3% (37%),"41,082 ±6,584",04:50 (04:31),NDev,NDev,Simulation
2795,Battlevoid: Harbinger,"Feb 24, 2016",$9.99,46% (80%),"41,082 ±6,584",11:55 (04:55),Bugbyte Ltd.,Bugbyte Ltd.,Simulation
2986,Bus-Simulator 2012,22/11/13,$9.99,3% (34%),"41,082 ±6,584",06:29 (02:38),TML Studios,astragon Software GmbH,Simulation
334,Super Duper Party Pooper,06/06/16,$0.99,58% (85%/40%),"40,806 ±6,562",03:40 (03:39),K Bros Games,K Bros Games,Simulation
2431,Judgment: Apocalypse Survival Simulation,"Apr 11, 2016",$19.99,64% (87%),"40,806 ±6,562",14:00 (07:16),Suncrash,Suncrash,Simulation
3351,8-Bit Hordes,"Aug 12, 2016",$14.99,48% (81%),"40,806 ±6,562",04:07 (01:56),Petroglyph,Petroglyph,Simulation
1307,Chop and Drop VR,"Aug 21, 2017",Free,N/A (N/A),"40,530 ±6,539",00:06 (00:02),"Designing Digitally, Inc.","Designing Digitally, Inc.",Simulation
413,X-note,16/01/15,$19.99,N/A (N/A),"40,255 ±6,517",03:10 (03:13),Zeiva Inc,Zeiva Inc,Simulation
1400,Blueshift,"Dec 21, 2016",Free,56% (84%),"40,255 ±6,517",00:22 (00:11),"Zach Tsiakalis-Brown, Raul Bravo",Zulubo Productions,Simulation
2125,TRIP Steam Edition,19/06/15,$1.77,N/A (N/A),"40,255 ±6,517",00:06 (00:03),Axel Shokk,Axel Shokk,Simulation
3020,Taxi,"Aug 22, 2014",$4.99,10% (52%),"40,255 ±6,517",03:26 (00:46),Excalibur,Excalibur Games,Simulation
1871,Story Of the Survivor,"Feb 16, 2016",$4.99,N/A (N/A),"39,979 ±6,495",00:51 (01:04),"Kamil Szczepanik, Bartosz Zajkowski",Animakemu Games,Simulation
3008,Children of the Nile: Alexandria,"Sep 22, 2008",$2.49,N/A (N/A),"39,979 ±6,495",20:53 (05:14),"Tilted Mill Entertainment, Inc.","Tilted Mill Entertainment, Inc.",Simulation
3043,Transport Giant,"Sep 5, 2014",$9.99,6% (44%),"39,979 ±6,495",41:07 (02:16),United Independent Entertainment GmbH,United Independent Entertainment GmbH,Simulation
130,Space Colony: Steam Edition,"Apr 30, 2015",$14.99,26% (69%/74%),"39,703 ±6,472",09:38 (03:14),FireFly Studios,FireFly Studios,Simulation
972,Snooker-online multiplayer snooker game!,"Sep 15, 2016",Free,3% (36%),"39,703 ±6,472",01:53 (00:12),TTCX Inc.,TTCX Inc.,Simulation
1004,Robo Do It,"Feb 21, 2017",$0.49,N/A (N/A),"39,703 ±6,472",03:45 (03:54),Angel Carriola,Glossware Games,Simulation
1445,MotoGP13,20/06/13,$9.99,26% (69%),"39,703 ±6,472",13:28 (02:33),Milestone S.r.l.,"Plug In Digital, Milestone S.r.l.",Simulation
2462,New Star Soccer 5,"Sep 27, 2012",$14.99,25% (68%),"39,703 ±6,472",11:35 (03:42),New Star Games,New Star Games,Simulation
3006,Grass Cutter,24/03/17,$0.99,N/A (N/A),"39,703 ±6,472",04:45 (04:54),Nikolai Usachev,Nikolai Usachev,Simulation
1027,Magical Otoge Ciel,"Aug 26, 2016",Free,77% (91%),"39,428 ±6,450",01:32 (00:34),batensan,batensan,Simulation
1586,CarX Drift Racing Online,17/11/17,$9.99,77% (91%),"39,428 ±6,450",18:11 (05:56),CarX Technologies,CarX Technologies,Simulation
1728,Farm Machines Championships 2014,14/03/14,N/A,4% (39%),"39,428 ±6,450",01:14 (00:27),Silden,Silden,Simulation
942,Soul of the Devil,10/06/16,$2.99,N/A (N/A),"39,152 ±6,427",04:39 (04:33),Ziga Games,Ziga Games,Simulation
988,Maia,"Dec 3, 2013",$24.99,6% (45%),"39,152 ±6,427",03:15 (00:58),Simon Roth,Machine Studios,Simulation
2296,"Forgotten, Not Lost - A Kinetic Novel","Apr 1, 2016",$1.99,74% (90%),"39,152 ±6,427",02:57 (03:01),Afterthought Studios,Afterthought Studios,Simulation
2872,HEBEREKE!: March! Red Army Girls' Brigade,"Sep 30, 2016",Free,70% (89%),"39,152 ±6,427",01:41 (00:03),Japan War Game Development,Henteko Doujin,Simulation
8,Out of the Park Baseball 15,"Apr 24, 2014",$19.99,N/A (N/A/89%),"38,876 ±6,405",85:44 (13:53),Out of the Park Developments,Out of the Park Developments,Simulation
151,0RBITALIS,"May 28, 2015",$9.99,36% (75%/73%),"38,876 ±6,405",02:35 (00:52),Alan Zucconi,Mastertronic,Simulation
178,Pro Cycling Manager 2017,15/06/17,$29.99,14% (58%/71%),"38,876 ±6,405",76:04 (46:32),Cyanide Studio,Focus Home Interactive,Simulation
687,Sid Meier's Pirates! Gold Plus (Classic),"Oct 9, 2014",$6.99,N/A (N/A),"38,876 ±6,405",01:22 (00:08),"MicroProse Software, Inc","Retroism, Nightdive Studios",Simulation
2972,Automobilista,"Aug 24, 2016",$29.99,53% (83%),"38,876 ±6,405",24:47 (06:15),Reiza Studios,Reiza,Simulation
1193,A.I.M.2 Clan Wars,"May 22, 2014",$2.99,61% (86%),"38,600 ±6,382",08:09 (04:21),SkyRiver Studios,1C Company,Simulation
1671,Ripple Effect,"May 31, 2017",Free,N/A (N/A),"38,600 ±6,382",00:21 (00:10),"Well Played Studio, Inc","Well Played Studio, Inc",Simulation
2186,Smooth Operators,10/06/14,$2.99,34% (74%),"38,600 ±6,382",04:48 (02:06),Heydeck Games,Heydeck Games,Simulation
2417,Predynastic Egypt,"Oct 10, 2016",$9.99,77% (91%),"38,600 ±6,382",07:19 (05:08),Clarus Victoria,Clarus Victoria,Simulation
279,"Cook, Serve, Delicious! 2!!","Sep 13, 2017",$12.99,61% (86%/62%),"38,325 ±6,359",10:58 (04:59),Vertigo Gaming Inc.,Vertigo Gaming Inc.,Simulation
2231,Cat survival,"Feb 14, 2017",$9.99,N/A (N/A),"38,049 ±6,336",05:02 (05:02),Nafanya interactive,Nafanya interactive,Simulation
2531,Pinball FX3,"Sep 26, 2017",Free,31% (72%),"38,049 ±6,336",04:01 (00:38),Zen Studios,Zen Studios,Simulation
2539,FPV Drone Simulator,"Sep 9, 2017",Free,33% (73%),"38,049 ±6,336",00:06 (00:03),DreamEscape,DreamEscape,Simulation
3347,The Last Leviathan,22/06/16,$9.99,44% (79%),"37,773 ±6,313",05:27 (02:24),Super Punk Games,Super Punk Games,Simulation
1348,Glittermitten Grove,"Dec 13, 2016",$19.99,64% (87%),"37,498 ±6,290",04:57 (02:57),Mostly Tigerproof,Adult Swim Games,Simulation
1809,Pro Gamer Manager,"Apr 28, 2016",$9.99,9% (50%),"37,498 ±6,290",09:56 (05:05),Raptor Claw Games,501 Industries,Simulation
2562,Ship Simulator: Maritime Search and Rescue,01/07/14,$17.99,N/A (N/A),"37,498 ±6,290",06:44 (03:23),Reality Twist GmbH,rondomedia GmbH,Simulation
1764,Modbox,"Apr 5, 2016",$14.99,89% (94%),"37,222 ±6,267",03:50 (00:38),Alientrap,Alientrap,Simulation
1795,Need For Drink,03/11/17,$1.99,38% (76%),"37,222 ±6,267",01:03 (00:35),Room710Games,Room710Games,Simulation
1675,Pro Gamer Manager 2,"Oct 5, 2017",$19.99,1% (21%),"36,946 ±6,244",00:55 (00:36),Millenway,Millenway,Simulation
2706,Riptide GP2,07/03/14,$6.99,67% (88%),"36,670 ±6,220",04:07 (02:32),Vector Unit,Vector Unit,Simulation
1138,Volstead,25/06/15,$2.99,N/A (N/A),"36,119 ±6,173",00:01 (00:00),Carlos Vázquez Ordóñez,VoidMain Studios,Simulation
1469,Farming Giant,06/11/13,$1.99,0% (17%),"36,119 ±6,173",02:47 (00:25),Actalogic,United Independent Entertainment GmbH,Simulation
2403,PolyDome,"Aug 9, 2016",Free,N/A (N/A),"36,119 ±6,173",00:14 (00:06),Plan8,Plan8,Simulation
2544,Runeous: Part One,"May 31, 2016",Free,40% (77%),"36,119 ±6,173",00:36 (00:22),Novel Tea Games,Lost Fables,Simulation
3157,KINGDOMS,"Oct 23, 2015",$9.99,25% (68%),"36,119 ±6,173",06:38 (02:31),Oreol,Oreol,Simulation
245,Lethis - Path of Progress,25/06/15,$19.99,34% (74%/65%),"35,843 ±6,150",10:44 (03:14),Triskell Interactive,Triskell Interactive,Simulation
1161,Video blogger Story,13/06/16,$6.99,19% (63%),"35,843 ±6,150",04:11 (04:10),5Wolf,5Wolf,Simulation
1224,HELLION,"Feb 24, 2017",$24.99,24% (67%),"35,843 ±6,150",15:50 (05:28),Zero Gravity,Zero Gravity,Simulation
3239,Mining & Tunneling Simulator,05/03/14,$9.99,N/A (N/A),"35,843 ±6,150",00:48 (00:12),United Independent Entertainment GmbH,United Independent Entertainment GmbH,Simulation
852,The Oil Blue: Steam Legacy Edition,"Aug 6, 2015",$4.99,23% (66%),"35,568 ±6,126",03:38 (03:30),Vertigo Gaming Inc.,Vertigo Gaming Inc.,Simulation
1769,Jane's Advanced Strike Fighters,08/03/12,$9.99,2% (30%),"35,568 ±6,126",01:42 (00:28),Trickstar Games,Deep Silver,Simulation
497,City of God I - Prison Empire,06/03/17,$11.99,36% (75%),"35,292 ±6,102",26:01 (11:04),Pixel Gangsta Studio,Pixel Gangsta Studio,Simulation
682,Wildlife Park 2 - Dino World,17/07/14,$3.99,N/A (N/A),"35,292 ±6,102",02:50 (02:00),b-alive gmbh,b-alive gmbh,Simulation
958,Opus Magnum,"Dec 7, 2017",$17.99,99% (98%),"35,292 ±6,102",10:27 (06:59),Zachtronics,Zachtronics,Simulation
1632,Tapocalypse,"Dec 16, 2016",$2.99,N/A (N/A),"35,292 ±6,102",06:32 (06:33),BEta - indie,Atriagames,Simulation
1634,it's always monday,22/11/16,$0.99,N/A (N/A),"35,292 ±6,102",00:33 (00:20),"Alonzu, @alonzubin",AlonZubina,Simulation
2947,VR Battle Grid,08/11/16,Free,N/A (N/A),"35,016 ±6,078",00:27 (00:11),Fred Sauer,Fred Sauer,Simulation
502,Blood Code,"Dec 28, 2015",$6.99,34% (74%),"34,740 ±6,054",06:20 (04:21),"Weixi Games, ZiX Solutions",ZiX Solutions,Simulation
1471,Wildlife Park 2 - Crazy Zoo,17/07/14,$3.99,N/A (N/A),"34,740 ±6,054",07:05 (01:51),b-alive gmbh,b-alive gmbh,Simulation
2990,Farm Expert 2017,"Sep 1, 2016",$19.99,6% (44%),"34,740 ±6,054",06:53 (01:13),Silden,Silden,Simulation
800,NoLimits 2 Roller Coaster Simulation,"Aug 21, 2014",$39.99,67% (88%),"34,465 ±6,030",14:21 (03:16),Ole Lange,Mad Data GmbH & Co. KG,Simulation
2336,Smugglers 5,"Apr 11, 2014",$9.99,11% (53%),"34,465 ±6,030",05:50 (01:42),Niels Bauer Games,Niels Bauer Games,Simulation
2962,Ludwig,06/06/14,$9.99,N/A (N/A),"34,465 ±6,030",00:41 (00:37),ovos,ovos,Simulation
379,Random Journey,"Dec 18, 2016",$1.99,N/A (N/A),"34,189 ±6,006",04:18 (04:31),Nova D,Nova D,Simulation
866,Quantum Rush Champions,"Dec 4, 2014",$9.99,9% (51%),"34,189 ±6,006",04:00 (04:22),GameArt Studio GmbH,GameArt Studio GmbH,Simulation
218,The Long Journey Home,"May 30, 2017",$39.99,25% (68%/68%),"33,913 ±5,982",08:47 (03:33),Daedalic Studio West,Daedalic Entertainment,Simulation
285,Wings! Remastered Edition,"Oct 17, 2014",$14.99,46% (80%/61%),"33,913 ±5,982",04:20 (02:33),Cinemaware,Cinemaware,Simulation
358,Bridge Constructor Stunts,"Feb 23, 2016",$9.99,N/A (N/A),"33,913 ±5,982",00:39 (00:37),ClockStone,Headup Games,Simulation
982,welcome to heaven,22/06/17,Free,24% (67%),"33,913 ±5,982",00:21 (00:10),vextro,vextro,Simulation
1601,"Peace, Death!",24/03/17,$4.99,89% (94%),"33,913 ±5,982",03:20 (02:36),AZAMATIKA,AZAMATIKA,Simulation
1716,Roller Coaster Rampage,19/06/12,$9.99,14% (58%),"33,913 ±5,982",01:22 (00:37),Pantera Entertainment,Pantera Entertainment,Simulation
2440,Apollo 11 VR,"Apr 1, 2016",$9.69,64% (87%),"33,913 ±5,982",04:05 (01:06),Immersive VR Education Ltd.,Immersive VR Education Ltd.,Simulation
1086,Dead In Bermuda,"Aug 27, 2015",$14.99,38% (76%),"33,638 ±5,957",07:07 (04:18),CCCP,"Playdius, Plug In Digital",Simulation
1279,P-Walker's Simulation,"May 24, 2017",$2.99,N/A (N/A),"33,638 ±5,957",03:44 (04:03),BrainStrainStudios,BrainStrainStudios,Simulation
2233,Bonsai,"Feb 18, 2016",$0.99,13% (56%),"33,638 ±5,957",04:23 (04:25),Rooted Concepts,Rooted Concepts,Simulation
2343,Supreme Ruler Ultimate,"Oct 17, 2014",$19.99,38% (76%),"33,638 ±5,957",69:59 (07:42),BattleGoat Studios,BattleGoat Studios,Simulation
2670,Zotrix,24/07/15,$12.99,2% (33%),"33,638 ±5,957",03:50 (04:27),ZeroBit Games,Ocean Media LLC,Simulation
2715,Titanic VR Demo,31/01/17,Free,48% (81%),"33,638 ±5,957",00:15 (00:06),Immersive VR Education Ltd.,Immersive VR Education Ltd.,Simulation
477,Wildlife Park 2 - Farm World,17/07/14,$3.99,N/A (N/A),"33,362 ±5,933",06:03 (02:16),b-alive gmbh,b-alive gmbh,Simulation
2722,Richie's Plank Experience,"Sep 19, 2016",$7.99,67% (88%),"33,362 ±5,933",06:09 (01:12),Toast,Toast,Simulation
2806,Streetball VR,01/06/17,$2.99,N/A (N/A),"33,362 ±5,933",00:01 (00:00),Indiecode Games,Indiecode Games,Simulation
921,Wildlife Park 2 - Marine World,17/07/14,$3.99,N/A (N/A),"33,086 ±5,908",07:20 (00:56),b-alive gmbh,b-alive gmbh,Simulation
1790,Microcosmum: survival of cells,24/07/15,$7.99,34% (74%),"33,086 ±5,908",04:35 (02:30),Alexander Byzov,Alexander Byzov,Simulation
2163,Life is Hard,03/11/15,$8.99,28% (70%),"33,086 ±5,908",03:02 (02:36),"Pirozhok Studio, Vitaliy Ruzankin",Pirozhok,Simulation
3112,STAR-BOX: RPG Adventures in Space,"Aug 17, 2015",$4.99,N/A (N/A),"33,086 ±5,908",04:16 (04:30),Michael Flynn,FlynnFour Games,Simulation
1324,Ride! Carnival Tycoon,29/07/08,$9.99,N/A (N/A),"32,810 ±5,884",01:14 (00:31),Gabriel Entertainment,"ValuSoft, Retroism",Simulation
2869,Wildlife Park 2 - Horses,17/07/14,$3.99,N/A (N/A),"32,810 ±5,884",05:46 (01:59),b-alive gmbh,b-alive gmbh,Simulation
3272,The Sandbox,29/06/15,$4.99,17% (61%),"32,810 ±5,884",16:30 (04:54),PIXOWL INC.,PIXOWL INC.,Simulation
3274,Sid Meier's Covert Action (Classic),"Oct 9, 2014",$6.99,67% (88%),"32,810 ±5,884",04:42 (00:48),"MicroProse Software, Inc","Retroism, Nightdive Studios",Simulation
3343,Trainz Settle and Carlisle,"Oct 1, 2010",$19.99,N/A (N/A),"32,810 ±5,884",01:09 (00:44),N3V Games,N3V Games,Simulation
1221,ZenBlade,"Apr 29, 2016",$14.99,58% (85%),"32,535 ±5,859",05:22 (01:06),Atomic VR Inc.,Atomic VR Inc.,Simulation
1527,Farm for your Life,16/06/14,$9.99,46% (80%),"32,535 ±5,859",07:37 (06:39),Hammer Labs,Hammer Labs,Simulation
203,Panzer Tactics HD,"May 22, 2014",$9.99,33% (73%/69%),"32,259 ±5,834",51:00 (06:54),Sproing,THQ Nordic,Simulation
306,Vector Thrust,02/07/15,$24.99,14% (58%/57%),"32,259 ±5,834",05:05 (01:50),TimeSymmetry,Iceberg Interactive,Simulation
622,SimpleRockets,03/06/15,$7.99,58% (85%),"32,259 ±5,834",07:27 (04:47),"Jundroo, LLC","Jundroo, LLC",Simulation
630,Double Cubes,18/01/17,$4.99,N/A (N/A),"32,259 ±5,834",04:27 (04:31),"Nova Dimension, Recreat4",Nova Dimension,Simulation
984,Project Tarvotan,"Sep 25, 2015",$0.49,N/A (N/A),"32,259 ±5,834",04:29 (04:34),JDRumble,JDRumble,Simulation
1098,Baseball Mogul 2015,24/07/15,$4.99,N/A (N/A),"32,259 ±5,834",00:35 (00:07),"Sports Mogul, Inc.","Sports Mogul, Inc.",Simulation
1349,Infectonator : Survivors,"Aug 8, 2016",$9.99,24% (67%),"32,259 ±5,834",08:07 (03:14),Toge Productions,Toge Productions,Simulation
2287,Autobahn Police Simulator,"Aug 26, 2015",$9.99,3% (34%),"32,259 ±5,834",08:11 (04:53),Z-Software,Aerosoft GmbH,Simulation
2805,Poker World - Single Player,"Aug 27, 2017",Free,9% (51%),"32,259 ±5,834",05:12 (00:36),"OrangeGames, YoudaGames",OrangeGames,Simulation
1256,MotoGP15,23/06/15,$29.99,36% (75%),"31,983 ±5,809",36:02 (06:04),Milestone S.r.l.,Milestone S.r.l.,Simulation
1252,Interstellar Rift,23/06/15,$14.99,40% (77%),"31,708 ±5,784",15:09 (04:42),Split Polygon,Split Polygon,Simulation
1623,Professional Farmer 2017,23/03/16,$14.99,0% (16%),"31,708 ±5,784",01:41 (00:43),VIS - Visual Imagination Software,United Independent Entertainment GmbH,Simulation
2080,Age of Gladiators,"Feb 25, 2016",$9.99,48% (81%),"31,708 ±5,784",07:32 (04:51),Creative Storm Entertainment,Creative Storm Entertainment,Simulation
2248,DIG IT! - A Digger Simulator,"Oct 14, 2014",$17.99,13% (57%),"31,708 ±5,784",09:03 (03:35),Cape Copenhagen,rondomedia GmbH,Simulation
2777,Merlin adventurer store,"Dec 2, 2016",$2.99,N/A (N/A),"31,708 ±5,784",04:24 (05:08),DyingCat,DyingCat,Simulation
197,TransOcean 2: Rivals,"May 10, 2016",$24.99,5% (43%/69%),"31,432 ±5,759",11:36 (05:39),Deck13 Hamburg,astragon Entertainment GmbH,Simulation
705,Bad Rats Show,20/07/16,$1.99,61% (86%),"31,432 ±5,759",04:04 (01:44),Invent4 Entretenimento,Strategy First,Simulation
796,Princess Maker 2 Refine,"Sep 28, 2016",$19.99,81% (92%),"31,432 ±5,759",09:09 (04:58),"CFK Co., Ltd.","CFK Co., Ltd.",Simulation
1640,Racecraft,04/03/16,$19.99,N/A (N/A),"31,432 ±5,759",02:36 (00:59),Vae Victis Games,Vae Victis Games,Simulation
2692,Lobotomy Corporation | Monster Management Simulation,"Dec 16, 2016",$19.99,56% (84%),"31,432 ±5,759",10:19 (03:35),Project Moon,Project Moon,Simulation
158,Qvadriga,13/06/14,$19.99,42% (78%/72%),"31,156 ±5,733",10:40 (02:58),Turnopia,Slitherine Ltd.,Simulation
241,Bounty Train,"May 16, 2017",$24.99,33% (73%/66%),"31,156 ±5,733",10:49 (04:34),Corbie Games,Daedalic Entertainment,Simulation
331,Air Conflicts: Vietnam,"Oct 2, 2013",$14.99,1% (28%/43%),"31,156 ±5,733",03:03 (01:04),Games Farm,Games Farm,Simulation
734,Asphyxia,"Aug 4, 2015",$5.99,58% (85%),"31,156 ±5,733",03:58 (03:50),ebi-hime,Sekai Project,Simulation
1094,Autocraft,"Sep 20, 2017",$9.99,14% (58%),"31,156 ±5,733",07:00 (02:26),Alientrap,Alientrap,Simulation
2737,Pro Cycling Manager 2014,19/06/14,$9.99,21% (64%),"31,156 ±5,733",68:27 (19:45),Cyanide Studio,Focus Home Interactive,Simulation
3127,Nevrosa: Prelude,"Feb 23, 2017",Free,92% (95%),"31,156 ±5,733",00:19 (00:10),GexagonVR,GexagonVR,Simulation
188,Pride of Nations,07/06/11,$19.99,5% (43%/70%),"30,880 ±5,708",13:43 (01:22),Ageod,Slitherine Ltd.,Simulation
1203,Panzer Warfare,"Aug 25, 2016",$1.99,N/A (N/A),"30,880 ±5,708",07:07 (07:30),Kobra Studio,Kobra Studio,Simulation
709,Domestic Dog,"Apr 10, 2015",$2.99,48% (81%),"30,605 ±5,683",02:05 (01:29),Sean Davy,,Simulation
876,Hospital Manager,25/03/15,$4.99,5% (41%),"30,605 ±5,683",03:24 (02:16),CCCP,Microids Indie,Simulation
1236,idleBeer,"Aug 31, 2017",$0.99,N/A (N/A),"30,605 ±5,683",05:26 (05:27),Corradi Games,Corradi Games,Simulation
3268,Recovery Search & Rescue Simulation,09/01/14,$4.99,N/A (N/A),"30,605 ±5,683",00:14 (00:10),Excalibur Publishing,Excalibur Games,Simulation
2066,QuiVr,"Dec 19, 2016",$19.99,85% (93%),"30,329 ±5,657",03:36 (01:26),Blueteak,"Alvios, Inc.",Simulation
314,Planar Conquest,"May 30, 2016",$19.99,8% (49%/53%),"30,053 ±5,631",17:23 (02:12),Wastelands Interactive,Wastelands Interactive,Simulation
1462,Ski Region Simulator - Gold Edition,31/01/14,$9.99,34% (74%),"30,053 ±5,631",09:17 (05:14),Giants Software,Giants Software,Simulation
2790,World of Diving,"Aug 26, 2014",$19.99,15% (59%),"30,053 ±5,631",04:50 (01:52),Vertigo Games,Vertigo Games,Simulation
3131,Trainz: Classic Cabon City,"Sep 1, 2010",$19.99,N/A (N/A),"30,053 ±5,631",01:03 (00:15),N3V Games,N3V Games,Simulation
3254,WolfQuest,25/03/16,$9.99,61% (86%),"30,053 ±5,631",22:14 (05:04),eduweb,eduweb,Simulation
675,Piata,"Sep 1, 2016",Free,N/A (N/A),"29,777 ±5,605",00:30 (00:10),Nexus Interactive Arts,Nexus Interactive Arts,Simulation
1476,Trainz: Murchison 2,,N/A,N/A (N/A),"29,777 ±5,605",01:08 (00:10),N3V Games,N3V Games,Simulation
3083,RPG Tycoon,"Feb 12, 2016",$9.99,16% (60%),"29,777 ±5,605",02:43 (02:20),Skatanic Studios,GSProductions Ltd.,Simulation
556,Salvation Prophecy,"Oct 7, 2013",$19.99,19% (63%),"29,502 ±5,579",03:16 (01:13),Firedance Games,,Simulation
791,Climbey,"Oct 25, 2016",$9.99,92% (95%),"29,502 ±5,579",04:13 (01:37),Brian Lindenhof,ShadowBrain Games,Simulation
1080,Gardens Inc. 2: The Road to Fame,"May 22, 2014",$9.99,N/A (N/A),"29,502 ±5,579",07:59 (12:05),"World-Loom, Nitreal",MumboJumbo,Simulation
1141,Pilam Sky,14/06/17,$7.99,N/A (N/A),"29,502 ±5,579",05:22 (05:31),"Lazer Guss Studio, Nova Dimension",Nova Dimension,Simulation
3205,Galactic Landing,"Dec 9, 2016",$1.99,N/A (N/A),"29,502 ±5,579",07:10 (07:21),Kobra Studio,Kobra Studio,Simulation
536,Girl Amazon Survival,"Aug 16, 2016",$2.99,4% (39%),"29,226 ±5,553",06:07 (07:10),Kobra Studio,Kobra Studio,Simulation
1265,Making History: The Great War,29/01/15,$29.99,36% (75%),"29,226 ±5,553",26:14 (07:20),"Muzzy Lane Software, Factus Games",Factus Games,Simulation
2324,Our End of the World,02/11/17,$9.99,38% (76%),"29,226 ±5,553",03:48 (02:31),"橘子班, 大好网",NVLMaker,Simulation
2991,Bio Inc. Redemption,"May 18, 2017",$12.99,89% (94%),"29,226 ±5,553",06:21 (03:12),DryGin Studios,DryGin Studios,Simulation
3159,AIRIS,"Apr 27, 2017",Free,53% (83%),"29,226 ±5,553",02:00 (00:20),Ebullience Games,Ebullience Games,Simulation
272,Bientt l't,"Feb 6, 2013",$9.99,9% (51%/62%),"28,950 ±5,527",00:45 (00:22),Tale of Tales,Tale of Tales,Simulation
711,Truck Mechanic Simulator 2015,"May 1, 2015",$9.99,5% (42%),"28,950 ±5,527",03:35 (01:09),PlayWay SA,Ravenscourt,Simulation
