#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),Genre
2981,RuneScape: Idle Adventures,"Sep 1, 2016",Free,13% (56%),"180,595 ±13,802",24:24 (01:45),Hyper Hippo Games,Hyper Hippo Games,RPG
1356,UFO Online: Invasion,08/06/16,Free,11% (53%),"179,768 ±13,771",04:11 (00:18),Bad Pixel,Bad Pixel,RPG
2455,The Dark Stone from Mebara,"Feb 27, 2015",$0.79,N/A (N/A),"179,768 ±13,771",03:24 (03:29),Jerseyware Gaming,KISS ltd,RPG
2101,Tales of Maj'Eyal,"Dec 12, 2013",$6.99,92% (95%),"178,389 ±13,718",38:08 (04:35),Netcore Games,Netcore Games,RPG
1853,Doomed Kingdoms,"Dec 12, 2016",$3.99,N/A (N/A),"177,838 ±13,697",03:46 (03:31),tumangames,tumangames,RPG
1274,Grave Prosperity: Redux- part 1,"Apr 17, 2015",N/A,N/A (N/A),"177,011 ±13,665",00:25 (00:02),LDC Studios,LDC Studios,RPG
365,Space Rangers HD: A War Apart,"Oct 17, 2013",$14.99,89% (94%/68%),"176,735 ±13,654",38:24 (07:54),"SNK Games, Elemental Games, Katauri Interactive",1C Company,RPG
691,Next Day: Survival,20/07/17,$9.99,26% (69%),"175,632 ±13,612",13:04 (04:23),SOFF Games,Last Level,RPG
241,Dreamfall: The Longest Journey,12/01/07,$19.99,61% (86%/75%),"175,081 ±13,590",09:41 (03:58),Funcom,Funcom,RPG
938,1914: Prelude to Chaos,"May 8, 2017",$0.99,N/A (N/A),"174,805 ±13,579",04:35 (04:31),Amaterasu Software,Amaterasu Software,RPG
2019,Zone4,20/11/16,N/A,N/A (N/A),"174,529 ±13,569",05:53 (00:20),"Infovine co.,Ltd.","Infovine co.,Ltd.",RPG
2757,Cubicle Quest,"Feb 25, 2015",$4.99,40% (77%),"174,529 ±13,569",04:34 (03:05),Ian Isaro,GrabTheGames,RPG
817,Machine Made: Rebirth,"Oct 10, 2017",$4.99,N/A (N/A),"174,253 ±13,558",05:31 (05:32),Proteus Studios,Sometimes You,RPG
2829,ArcaniA: Fall of Setarrif,"Oct 24, 2011",$14.99,2% (30%),"173,978 ±13,547",03:04 (00:54),Spellbound Studios,THQ Nordic,RPG
1808,Soul Gambler,10/07/14,$0.49,64% (87%),"173,151 ±13,515",03:09 (02:27),Tlön Studios,Gamestorming,RPG
255,The Red Solstice,09/07/15,$19.99,42% (78%/74%),"172,875 ±13,504",08:04 (02:04),Ironward,Nkidu Games Inc.,RPG
1589,bit Dungeon II,"Dec 15, 2014",$3.99,53% (83%),"172,875 ±13,504",03:20 (02:01),KintoGames,KintoGames,RPG
2934,Death Road to Canada,21/07/16,$14.99,92% (95%),"172,323 ±13,483",10:42 (04:01),"Rocketcat Games, Madgarden",Rocketcat Games,RPG
2425,False Shelter,"Apr 19, 2017",$0.99,N/A (N/A),"171,772 ±13,461",03:39 (03:30),Amaterasu Software,Amaterasu Software,RPG
1060,Sweet Lily Dreams,"May 16, 2014",$14.99,N/A (N/A),"171,221 ±13,440",02:41 (01:25),RosePortal Games,Degica,RPG
1751,Tap Heroes,05/06/15,$2.99,25% (68%),"170,945 ±13,429",12:00 (03:30),VaragtP,VaragtP,RPG
179,Wuppo,"Sep 29, 2016",$14.99,97% (97%/78%),"170,669 ±13,418",04:22 (02:38),Knuist & Perzik,SOEDESCO Publishing,RPG
1128,Jagged Alliance 2 - Wildfire,16/11/12,$6.99,31% (72%),"170,669 ±13,418",09:04 (05:35),I-deal Games,Topware Interactive,RPG
2248,No Turning Back: The Pixel Art Action-Adventure Roguelike,15/01/16,$2.99,N/A (N/A),"170,669 ±13,418",03:29 (03:30),"ColloseusX, cpmilan",Phat Phrog Studios,RPG
2224,Saturday Morning RPG,29/01/14,$6.99,46% (80%),"170,118 ±13,396",03:07 (02:12),Mighty Rabbit Studios,Actigame Publishing Corp.,RPG
256,Disgaea PC / PC,"Feb 24, 2016",$14.99,67% (88%/74%),"169,842 ±13,385",17:26 (03:21),"Nippon Ichi Software, Inc.","NIS America, Inc.",RPG
2341,Secrets of Grindea,13/07/15,$14.99,89% (94%),"168,188 ±13,320",12:06 (08:20),Pixel Ferrets,Pixel Ferrets,RPG
2228,LuckCatchers,15/11/16,Free,10% (52%),"167,912 ±13,309",07:41 (00:10),DiP Online,DiP Online,RPG
2743,CUPID - A free to play Visual Novel,04/03/16,Free,64% (87%),"167,636 ±13,298",02:03 (00:43),Fervent,Afterthought Studios,RPG
2802,Midas Gold Plus,"Feb 1, 2017",Free,70% (89%),"167,636 ±13,298",97:49 (00:54),Holyday Studios,Holyday Studios,RPG
2465,"Hack, Slash, Loot","Apr 5, 2012",$6.99,12% (55%),"167,085 ±13,276",04:52 (01:40),David Williamson,David Williamson,RPG
1271,Fight or Die,06/01/17,$2.99,N/A (N/A),"165,431 ±13,210",03:46 (03:31),Vyacheslav Shilikhin,Vyacheslav Shilikhin,RPG
2066,All Guns On Deck,"Aug 28, 2015",$12.99,N/A (N/A),"164,879 ±13,188",03:21 (00:09),Decaying Logic,KISS ltd,RPG
188,NEO Scavenger,"Dec 15, 2014",$14.99,74% (90%/77%),"164,328 ±13,166",12:21 (04:42),Blue Bottle Games,Blue Bottle Games,RPG
1668,SanctuaryRPG: Black Edition,"Feb 13, 2015",$7.99,85% (93%),"163,776 ±13,144",07:43 (03:38),Black Shell Games,Black Shell Media,RPG
2111,Streets of Rogue,10/03/17,$14.99,92% (95%),"163,776 ±13,144",08:18 (04:42),Matt Dabrowski,tinyBuild,RPG
383,Dungeon Souls,"Dec 2, 2016",$12.99,51% (82%/67%),"163,225 ±13,122",07:34 (03:13),"Lamina Studios, Mike Studios",Black Shell Media,RPG
385,King Arthur II: The Role-Playing Wargame,27/01/12,$9.99,11% (53%/66%),"162,398 ±13,089",07:52 (01:45),NeocoreGames,Paradox Interactive,RPG
1348,Merchants of Kaidan,10/11/14,$14.99,16% (60%),"162,398 ±13,089",06:54 (05:57),Forever Entertainment S. A.,Forever Entertainment S. A.,RPG
2449,Eon Altar,22/06/16,$4.99,81% (92%),"162,398 ±13,089",04:01 (01:39),Flying Helmet Games,Flying Helmet Games,RPG
369,WASTED,07/06/16,$12.99,40% (77%/68%),"162,122 ±13,078",05:50 (01:56),Mr. Podunkian,Adult Swim Games,RPG
2738,Lucent Heart,"Feb 11, 2016",Free,8% (48%),"161,846 ±13,067",03:11 (00:16),Playcoo,Suba Games,RPG
2406,REVENGE: First Blood,"Feb 24, 2017",$2.99,N/A (N/A),"161,570 ±13,055",04:30 (04:31),Vyacheslav Shilikhin,Vyacheslav Shilikhin,RPG
232,Patrician III,18/11/10,$4.99,40% (77%/75%),"161,019 ±13,033",15:26 (00:40),Ascaron Entertainment ltd.,Kalypso Media Digital,RPG
1169,Immune - True Survival,25/03/15,$0.99,16% (60%),"161,019 ±13,033",04:33 (01:28),vidiludi games and entertainment,vidiludi games and entertainment,RPG
85,Dragon Age: Origins Awakening,16/03/10,$9.99,89% (94%/82%),"160,192 ±13,000",00:15 (00:01),BioWare,Electronic Arts,RPG
1946,Famaze,"May 5, 2014",Free,42% (78%),"160,192 ±13,000",00:57 (00:12),Oryx Design Lab,Oryx Design Lab,RPG
273,King's Bounty: Dark Side,"Aug 19, 2014",$12.99,26% (69%/73%),"159,640 ±12,977",62:50 (20:53),1C-SoftClub,1C Company,RPG
705,Learn Japanese To Survive! Hiragana Battle,"Feb 16, 2016",$6.99,89% (94%),"159,640 ±12,977",03:09 (00:57),Sleepy Duck,Sleepy Duck,RPG
1538,Dungeons & Dragons: Chronicles of Mystara,18/06/13,$14.99,46% (80%),"159,640 ±12,977",02:26 (01:22),Iron Galaxy Studios,Capcom,RPG
1122,UnnyWorld - Battle Royale,26/07/17,Free,29% (71%),"158,538 ±12,932",01:35 (00:20),Unnyhog,Unnyhog,RPG
2187,Jagged Alliance Online - Steam Edition,05/06/13,Free,N/A (N/A),"157,710 ±12,899",09:18 (01:49),Cliffhanger Productions,Cliffhanger Productions,RPG
695,Kenshi,,$19.99,61% (86%),"157,435 ±12,887",33:08 (06:00),Lo-Fi Games,Lo-Fi Games,RPG
138,Icewind Dale: Enhanced Edition,"Oct 30, 2014",$19.99,61% (86%/80%),"157,159 ±12,876",28:01 (09:34),Beamdog,Beamdog,RPG
202,Expeditions: Conquistador,"May 30, 2013",$19.99,46% (80%/77%),"157,159 ±12,876",12:41 (03:16),Logic Artists,Logic Artists,RPG
405,Grotesque Tactics: Evil Heroes,"Oct 15, 2010",$9.99,15% (59%/65%),"156,883 ±12,865",03:38 (01:05),"Headup Games, Silent Dreams",Headup Games,RPG
2398,Zombie Shooter 2,18/11/09,$9.99,53% (83%),"156,056 ±12,831",05:19 (01:26),Sigma Team Inc.,Sigma Team Inc.,RPG
2433,Sakura Dungeon,03/06/16,$19.99,85% (93%),"156,056 ±12,831",09:48 (05:22),Winged Cloud,Winged Cloud,RPG
2054,The Ranger: Lost Tribe,"Aug 1, 2017",Free,61% (86%),"154,953 ±12,785",00:20 (00:01),Leiting Interactive,Leiting Interactive,RPG
168,Fallen Enchantress,"Oct 23, 2012",$9.99,22% (65%/78%),"154,678 ±12,774",24:21 (09:17),Stardock Entertainment,Stardock Entertainment,RPG
2150,NosTale,"Sep 18, 2017",Free,26% (69%),"154,678 ±12,774",18:39 (00:18),"Entwell Co., Ltd.",Gameforge 4D GmbH,RPG
399,Fairy Fencer F,"Aug 4, 2015",$29.99,77% (91%/66%),"154,126 ±12,751",13:13 (05:30),"Idea Factory, Compile Heart",Idea Factory International,RPG
2136,Redemption: Eternal Quest,"Aug 28, 2015",$1.99,N/A (N/A),"154,126 ±12,751",03:33 (03:30),SimProse Studios,SimProse Studios,RPG
190,Arx Fatalis,"Apr 3, 2007",$4.99,64% (87%/77%),"153,299 ±12,717",03:23 (00:15),Arkane Studios,Arkane Studios,RPG
1982,Combat Monsters,20/01/15,Free,28% (70%),"153,299 ±12,717",03:27 (00:21),Rubicon Development,Rubicon Development,RPG
108,Torment: Tides of Numenera,"Feb 27, 2017",$44.99,26% (69%/81%),"152,748 ±12,694",17:21 (06:00),inXile Entertainment,inXile Entertainment,RPG
542,Nightbanes,30/03/15,Free,17% (61%),"152,748 ±12,694",23:49 (00:34),Diviad,mamor games,RPG
1613,Fortune Summoners,30/01/12,$19.99,64% (87%),"152,196 ±12,671",07:47 (01:34),Lizsoft,Carpe Fulgur LLC,RPG
2083,Zombie Shooter,"May 27, 2009",$4.99,67% (88%),"151,645 ±12,648",02:04 (01:01),Sigma Team Inc.,Sigma Team Inc.,RPG
452,Sword Coast Legends,"Oct 19, 2015",$4.94,14% (58%/61%),"151,093 ±12,625",21:29 (06:09),n-Space,Digital Extremes,RPG
2876,Jesus Christ RPG Trilogy,18/03/16,Free,51% (82%),"150,266 ±12,591",00:50 (00:08),Wholetone Games,Wholetone Games,RPG
235,Ring Runner: Flight of the Sages,19/11/13,$0.99,61% (86%/75%),"149,990 ±12,579",05:55 (01:23),Triple.B.Titles,Triple.B.Titles,RPG
2633,Star Wolves 3: Civil War,02/03/10,$4.99,44% (79%),"149,990 ±12,579",08:37 (02:45),Elite Games Team,1C Company,RPG
902,Daily Chthonicle: Editor's Edition,"Sep 30, 2016",$3.99,N/A (N/A),"149,715 ±12,567",03:47 (03:31),Sinister Systems,Sometimes You,RPG
2051,Conquest of Champions,"Apr 23, 2014",Free,13% (57%),"147,785 ±12,486",08:19 (00:19),Kihon Inc.,Kihon Inc.,RPG
1502,Hero of the Kingdom,14/11/13,$0.89,85% (93%),"147,509 ±12,475",04:01 (03:31),Lonely Troops,Lonely Troops,RPG
2729,Era of Majesty,"Feb 26, 2016",$5.99,N/A (N/A),"147,509 ±12,475",02:49 (03:25),"Alexandr Lavelin, Evgeny Shcherbakov",Atriagames,RPG
1515,Kalonline,13/07/16,N/A,N/A (N/A),"147,233 ±12,463",79:27 (00:20),Inixsoft,Inixsoft,RPG
516,Heroes Evolved,23/01/17,Free,9% (51%),"146,957 ±12,451",04:57 (00:28),Net Dragon,R2Games,RPG
2422,Might & Magic Heroes VII,"Sep 29, 2015",$49.99,6% (44%),"146,406 ±12,428",51:34 (16:22),Limbic Entertainment,Ubisoft,RPG
2402,Emporea: Realms of War and Magic,08/06/16,Free,17% (61%),"145,579 ±12,393",19:34 (00:22),Pixel Federation,Pixel Federation,RPG
1200,Golden Swords,"Oct 26, 2016",$8.99,N/A (N/A),"145,027 ±12,369",03:22 (03:30),Vlad K.,AEY Inc.,RPG
2943,Delver,"Sep 6, 2013",$7.99,67% (88%),"143,925 ±12,322",02:55 (01:23),Priority Interrupt,,RPG
990,Dig or Die,04/03/15,$9.99,81% (92%),"143,649 ±12,310",08:58 (03:26),Gaddy Games,Gaddy Games,RPG
751,Lilly and Sasha: Curse of the Immortals,"Apr 28, 2015",$4.99,48% (81%),"143,373 ±12,299",03:10 (02:59),John Wizard,John Wizard,RPG
1205,Firefly Online Cortex,29/01/15,Free,9% (51%),"143,373 ±12,299",04:14 (00:20),Spark Plug Games,QMx Interactive,RPG
2918,Storm Of Spears RPG,17/06/16,$1.99,33% (73%),"143,373 ±12,299",03:14 (03:03),Warfare Studios,Red Dahlia,RPG
392,ELEX,"Oct 17, 2017",$49.99,38% (76%/66%),"143,097 ±12,287",33:53 (20:35),Piranha Bytes,THQ Nordic,RPG
2299,Orake 2D MMORPG,16/06/17,Free,29% (71%),"142,822 ±12,275",07:13 (00:07),Candycane Games,Candycane Games,RPG
2761,Allods Online RU,26/01/16,Free,17% (61%),"142,822 ±12,275",08:41 (00:11),Mail.ru Games,Mail.ru,RPG
378,"10,000,000",15/01/13,$4.99,74% (90%/67%),"142,270 ±12,251",07:41 (05:49),EightyEightGames,EightyEightGames,RPG
1197,Karos Returns,30/07/15,Free,31% (72%),"142,270 ±12,251",05:45 (00:21),Galaxy Gate,RedFox Games,RPG
2390,Fantasy Tales Online,"May 5, 2016",Free,34% (74%),"141,719 ±12,227",01:29 (00:13),Cold Tea Studio,NA,RPG
783,The Deed,23/11/15,$0.49,77% (91%),"140,892 ±12,192",02:54 (02:32),"Pilgrim Adventures, GrabTheGames Studios","GrabTheGames, WhisperGames",RPG
812,Coin Crypt,"Oct 28, 2014",$9.99,89% (94%),"139,237 ±12,120",02:55 (01:52),Dumb and Fat Games,,RPG
597,Sproggiwood,"Oct 24, 2014",$14.99,53% (83%),"138,686 ±12,096",04:05 (02:39),Freehold Games,Freehold Games,RPG
271,Thea: The Awakening,20/11/15,$19.99,74% (90%/73%),"137,859 ±12,060",30:21 (09:11),MuHa Games,MuHa Games,RPG
2082,RoboMatch,31/03/17,$0.99,N/A (N/A),"137,583 ±12,048",03:42 (03:30),Anti-Ded GameDev,Anti-Ded GameDev,RPG
297,Space Hulk Ascension,12/11/14,$29.99,33% (73%/72%),"137,307 ±12,036",12:22 (02:21),Full Control Studios,Full Control,RPG
430,The Baconing,"Aug 31, 2011",$14.99,38% (76%/63%),"137,307 ±12,036",03:39 (00:29),Hothead Games,Hothead Games,RPG
1921,Gunspell - Steam Edition,07/11/14,$1.49,N/A (N/A),"137,307 ±12,036",03:33 (01:59),Ino-Co Plus,KISS ltd,RPG
1497,Totem,"Aug 30, 2016",$3.99,N/A (N/A),"136,756 ±12,011",03:40 (03:30),Grizlikyt,Dagestan Technology,RPG
1634,Deadly Sin 2,"May 12, 2014",$4.99,N/A (N/A),"136,756 ±12,011",03:40 (02:08),Dancing Dragon Games,Degica,RPG
2373,Demonicon,"Oct 24, 2013",$9.99,23% (66%),"135,929 ±11,975",08:06 (03:47),Noumena Studios,Kalypso Media Digital,RPG
225,World to the West,"May 5, 2017",$19.99,58% (85%/75%),"135,653 ±11,963",04:09 (02:06),Rain Games,Rain Games,RPG
219,Fight The Dragon,"Dec 4, 2014",$9.99,46% (80%/76%),"135,377 ±11,951",05:48 (02:23),3 Sprockets,3 Sprockets,RPG
1361,Dragonia,"May 29, 2017",$1.19,70% (89%),"135,377 ±11,951",02:18 (01:38),"B-lusterLight, SakuraGame",SakuraGame,RPG
797,Rogue Port - Red Nightmare,"May 9, 2016",$0.84,N/A (N/A),"134,550 ±11,914",05:20 (05:02),Sunight Games,Sunight Games,RPG
465,Prime World: Defenders,05/06/13,$9.99,44% (79%/58%),"134,274 ±11,902",16:50 (05:29),Nival,Nival,RPG
2849,Helmet Heroes,"Oct 3, 2016",Free,5% (41%),"134,274 ±11,902",02:46 (00:18),Helmet Games,Helmet Games,RPG
195,DeathSpank,"Oct 25, 2010",$14.99,85% (93%/77%),"133,172 ±11,853",06:55 (03:43),Hothead Games,Electronic Arts,RPG
2289,How To Survive: Third Person Standalone,02/07/15,$9.99,11% (54%),"133,172 ±11,853",04:20 (01:09),Eko Software,505 Games,RPG
2266,Bardbarian,"Apr 1, 2014",$7.99,77% (91%),"132,896 ±11,841",05:12 (02:46),TreeFortress Games,TreeFortress Games,RPG
2517,SC2VN - The eSports Visual Novel,"Sep 22, 2015",Free,81% (92%),"132,896 ±11,841",02:04 (00:29),Team Eleven Eleven,Team Eleven Eleven,RPG
1537,Alchemyland,"Aug 2, 2017",$0.99,15% (59%),"132,620 ±11,828",06:45 (06:33),azimut team,azimut team,RPG
95,Nioh: Complete Edition / Complete Edition,07/11/17,$49.99,48% (81%/82%),"132,069 ±11,804",31:59 (14:54),"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",RPG
189,Deathtrap,"Feb 4, 2015",$19.99,51% (82%/77%),"132,069 ±11,804",16:33 (05:56),NeocoreGames,NeocoreGames,RPG
2490,Tree of Life,"Aug 17, 2017",$19.99,26% (69%),"132,069 ±11,804",43:34 (09:17),oddonegames,"oddonegames, neobricks",RPG
2310,Twin Saga,"Sep 1, 2017",Free,29% (71%),"131,793 ±11,791",08:12 (00:41),X-Legend,Aeria Games,RPG
346,Runespell: Overture,20/07/11,$9.99,42% (78%/69%),"131,517 ±11,779",04:06 (02:16),Mystic Box,Mystic Box,RPG
2371,SpellForce 2 - Demons of the Past,16/01/14,$19.99,8% (48%),"131,242 ±11,767",06:57 (01:56),"THQ Nordic, Mind Over Matter Studios",THQ Nordic,RPG
2516,Sphere III: Enchanted World,"Dec 2, 2015",Free,7% (46%),"131,242 ±11,767",04:55 (00:29),NIKITA ONLINE,NIKITA ONLINE,RPG
91,Pyre,25/07/17,$19.99,74% (90%/82%),"130,414 ±11,730",06:39 (03:32),Supergiant Games,Supergiant Games,RPG
1655,Rising World,"Dec 3, 2014",$14.99,46% (80%),"130,414 ±11,730",18:28 (03:48),JIW-Games,,RPG
359,Rollers of the Realm,18/11/14,$9.99,81% (92%/68%),"129,587 ±11,692",04:00 (02:38),Phantom Compass,ATLUS USA,RPG
964,GabeN: The Final Decision,"Sep 21, 2015",$0.99,14% (58%),"129,587 ±11,692",03:34 (03:34),Alex Zhang,Alex Zhang,RPG
2686,Fearless Fantasy,"May 15, 2014",$6.99,67% (88%),"129,312 ±11,680",04:26 (04:47),Enter Skies,tinyBuild,RPG
1837,Milford Heaven - Luken's Chronicles,10/06/16,$0.99,N/A (N/A),"128,760 ±11,655",03:38 (03:30),CGGAMES,CGGAMES,RPG
366,Crimsonland,11/06/14,$13.99,70% (89%/68%),"128,484 ±11,643",10:44 (06:27),10tons Ltd,10tons Ltd,RPG
54,Wizardry 8,"Sep 10, 2013",$9.99,85% (93%/85%),"128,209 ±11,630",27:03 (01:39),Sir-Tech Canada,"Gamepot, Inc., Nightdive Studios",RPG
335,Dead State: Reanimated,"Dec 4, 2014",$19.99,33% (73%/70%),"127,657 ±11,605",28:38 (05:59),DoubleBear Productions,DoubleBear Productions,RPG
770,The Wild Eight,"Feb 8, 2017",$13.39,38% (76%),"127,657 ±11,605",09:14 (05:11),HypeTrain Digital,HypeTrain Digital,RPG
1909,Legend of Dungeon: Masters,30/11/15,Free,18% (62%),"127,657 ±11,605",00:33 (00:03),Robot Loves Kitty,Robot Loves Kitty,RPG
1209,Victim of Xen,"May 21, 2014",$3.99,N/A (N/A),"126,554 ±11,555",03:54 (03:02),Smolders,Smolders,RPG
99,Age of Wonders Shadow Magic,Oct 2010,$9.99,67% (88%/82%),"126,279 ±11,542",44:39 (01:46),Triumph Studios,Paradox Interactive,RPG
1846,Epic Battle Fantasy 3,"Sep 1, 2016",Free,92% (95%),"126,279 ±11,542",04:19 (00:18),Matt Roszak,Matt Roszak,RPG
2070,Dungeons and Dragons: Daggerdale,24/06/11,$14.99,2% (31%),"126,279 ±11,542",06:26 (01:37),Bedlam Games,Atari,RPG
1994,Greed: Black Border,13/01/10,$4.99,6% (45%),"126,003 ±11,530",03:53 (00:37),"Headup Games, Clockstone",Headup Games,RPG
2094,Burgers,"Sep 3, 2015",$2.99,N/A (N/A),"126,003 ±11,530",04:42 (04:14),storm_sharks,storm_sharks,RPG
116,Dangerous High School Girls in Trouble!,"Feb 23, 2009",$19.99,36% (75%/81%),"125,451 ±11,504",02:46 (00:36),Mousechief,Mousechief,RPG
660,Steel & Steam: Episode 1,16/07/14,N/A,N/A (N/A),"125,451 ±11,504",00:25 (00:07),Red Meat Games,Digerati Distribution,RPG
305,UnderRail,"Dec 18, 2015",$14.99,64% (87%/72%),"124,900 ±11,479",16:19 (03:15),Stygian Software,Stygian Software,RPG
415,Ryzom,"May 6, 2016",Free,17% (61%/64%),"124,624 ±11,466",21:24 (00:19),Winch Gate Property Limited,Winch Gate Property Limited,RPG
982,Age of Wonders,Oct 2010,$5.99,53% (83%),"124,073 ±11,441",10:49 (00:56),Triumph Studios,Paradox Interactive,RPG
1463,16 Bit Arena,24/03/15,Free,26% (69%),"124,073 ±11,441",00:01 (00:01),16bitarena.com,16bitarena.com,RPG
393,Hot Tin Roof: The Cat That Wore A Fedora,"Feb 20, 2015",$14.99,N/A (N/A/66%),"123,797 ±11,428",02:13 (01:45),Glass Bottom Games,Glass Bottom Games,RPG
2057,Dungeon Defenders Eternity,22/07/14,$19.99,9% (50%),"123,797 ±11,428",19:33 (05:56),Nom Nom Games,Trendy Entertainment,RPG
2457,Gods and Idols,"Dec 12, 2016",Free,26% (69%),"123,797 ±11,428",02:19 (00:19),Viking Tao,Viking Tao,RPG
2588,Aveyond 3-2: Gates of Night,"Apr 18, 2014",$9.99,N/A (N/A),"123,521 ±11,416",00:31 (00:13),"Amaranth Games, LLC",Degica,RPG
1298,FNaF World,21/01/16,$9.99,N/A (N/A),"123,246 ±11,403",10:19 (03:43),Scott Cawthon,Scott Cawthon,RPG
2413,FortressCraft Evolved!,09/11/15,$12.99,36% (75%),"122,694 ±11,377",33:47 (02:52),ProjectorGames,Digital Tribe,RPG
425,Jagged Alliance: Crossfire,"Aug 24, 2012",$14.99,21% (64%/63%),"122,419 ±11,364",16:46 (01:24),Coreplay GmbH,THQ Nordic,RPG
436,Moon Hunters,10/03/16,$14.99,44% (79%/62%),"122,419 ±11,364",04:49 (02:33),Kitfox Games,Kitfox Games,RPG
868,Battlegrounds of Eldhelm,"Oct 22, 2014",Free,28% (70%),"122,419 ±11,364",02:36 (00:20),Essence Ltd.,Essence Ltd.,RPG
2350,Allods Online My.com,03/06/16,Free,21% (64%),"122,419 ±11,364",05:21 (00:55),"Allods Team, Mail.Ru Group",My.com,RPG
1956,Hell Girls,12/01/17,$0.99,81% (92%),"122,143 ±11,352",04:51 (02:54),SakuraGame,SakuraGame,RPG
1682,FINAL FANTASY VI,"Dec 16, 2015",$15.99,44% (79%),"121,867 ±11,339",18:57 (05:23),Square Enix,Square Enix,RPG
1988,Guns n Zombies,"Oct 30, 2014",$0.79,28% (70%),"121,867 ±11,339",03:01 (01:26),Krealit,Krealit,RPG
793,- Arcane Raise -,10/03/17,$0.5,4% (38%),"120,489 ±11,275",03:35 (03:30),Arcane Raise,ArcaneRaise,RPG
1508,Florensia,29/11/16,Free,16% (60%),"119,937 ±11,249",05:50 (00:18),AHA Entertainment,GAMESinFLAMES,RPG
276,Sherlock Holmes versus Jack the Ripper,"Dec 23, 2009",$9.99,38% (76%/73%),"119,386 ±11,223",06:45 (02:31),Frogwares,Frogwares,RPG
1969,Immortal Empire,"Dec 3, 2015",Free,26% (69%),"118,007 ±11,158",01:48 (00:22),Tactic Studios Inc.,Tactic Studios Inc.,RPG
185,Summoner,12/03/14,$4.99,48% (81%/78%),"117,731 ±11,145",12:11 (00:37),Volition,THQ Nordic,RPG
1897,Last Days,"Oct 20, 2016",Free,N/A (N/A),"117,180 ±11,119",04:43 (04:31),CrackedGhostGames,2ndDimensionGhost,RPG
2970,Shoot Many Robots,"Apr 6, 2012",$9.99,67% (88%),"117,180 ±11,119",10:38 (05:44),Demiurge Studios,Ubisoft,RPG
133,Darkwood,"Aug 17, 2017",$14.99,92% (95%/80%),"116,629 ±11,093",07:36 (02:32),Acid Wizard Studio,Acid Wizard Studio,RPG
2500,The Sun Never Sets,06/06/17,$4.99,N/A (N/A),"116,629 ±11,093",04:40 (04:31),Cipher Hive,Cipher Hive,RPG
176,Crashlands,21/01/16,$14.99,67% (88%/78%),"116,353 ±11,079",13:24 (05:22),Butterscotch Shenanigans,Butterscotch Shenanigans,RPG
469,Two Brothers,"Dec 3, 2013",N/A,N/A (N/A/57%),"116,353 ±11,079",00:49 (00:15),Ackk Studios,Ackk Studios,RPG
846,For The King,"Feb 28, 2017",$14.99,61% (86%),"116,353 ±11,079",13:27 (08:03),IronOak Games,IronOak Games,RPG
1443,Rogue Port - Blue Nightmare,31/03/17,$0.84,N/A (N/A),"116,353 ±11,079",05:28 (05:05),Sunight Games,Sunight Games,RPG
2772,Dungeons Of Kragmor,"Apr 29, 2016",$0.99,4% (39%),"115,526 ±11,040",00:57 (00:25),Digital Homicide Studios,Digital Homicide Studios,RPG
277,Halcyon 6: Starbase Commander (LIGHTSPEED EDITION),"Aug 9, 2017",$14.99,70% (89%/73%),"115,250 ±11,027",07:19 (04:31),"Massive Damage, Inc.","Massive Damage, Inc.",RPG
320,Halcyon 6: Starbase Commander,"Sep 8, 2016",$14.99,44% (79%/71%),"115,250 ±11,027",10:51 (05:28),"Massive Damage, Inc.","Massive Damage, Inc.",RPG
81,Silent Storm Gold Edition,"Oct 2, 2013",$9.99,77% (91%/83%),"114,974 ±11,014",12:01 (02:05),Nival,THQ Nordic,RPG
2133,Evil Maze,17/06/16,$1.99,44% (79%),"114,974 ±11,014",04:20 (04:18),ZOV GAME STUDIO,ZOV GAME STUDIO,RPG
411,Inquisitor,Aug 2013,$9.99,28% (70%/64%),"113,871 ±10,961",08:00 (02:33),"CINEMAX, s.r.o.","CINEMAX, s.r.o.",RPG
33,West of Loathing,"Aug 10, 2017",$10.99,99% (98%/87%),"113,596 ±10,947",12:54 (07:57),Asymmetric,Asymmetric,RPG
1071,Fight or Die 2,08/06/17,$2.99,N/A (N/A),"113,320 ±10,934",06:36 (06:32),Vyacheslav Shilikhin,Vyacheslav Shilikhin,RPG
251,The Curious Expedition,"Sep 2, 2016",$14.99,70% (89%/74%),"112,217 ±10,881",09:20 (04:24),Maschinen-Mensch,Maschinen-Mensch,RPG
1898,Steam Marines,"Sep 24, 2014",$19.99,13% (56%),"112,217 ±10,881",02:02 (00:27),Worthless Bums,,RPG
2249,- Arcane RERaise -,"Apr 4, 2017",$2.99,N/A (N/A),"112,217 ±10,881",03:39 (03:31),Arcane Raise,ArcaneRaise,RPG
209,Avernum: Escape From the Pit,"Apr 11, 2012",$9.99,81% (92%/76%),"111,941 ±10,867",24:50 (03:16),Spiderweb Software,Spiderweb Software,RPG
1776,Solstice,23/03/16,$19.99,N/A (N/A),"111,390 ±10,841",02:19 (01:25),MoaCube,MoaCube,RPG
2046,Folk Tale,,N/A,17% (61%),"111,390 ±10,841",06:39 (03:07),Games Foundry,Games Foundry,RPG
